,abstract,title,pub_name,url,score
37,"Physics-based models are widely used to study dynamical systems in a variety of scientific and engineering problems. However, these models are necessarily approximations of reality due to incomplete knowledge or excessive complexity in modeling underlying processes. As a result, they often produce biased simulations due to inaccurate parameterizations or approximations used to represent the true physics. In this paper, we aim to build a new physics-guided machine learning framework to monitor dynamical systems. The idea is to use advanced machine learning model to extract complex spatio-temporal data patterns while also incorporating general scientific knowledge embodied in simulated data generated by the physics-based model. To handle the bias in simulated data caused by imperfect parameterization, we propose to extract general physical relations jointly from multiple sets of simulations generated by a physics-based model under different physical parameters. In particular, we develop a spatio-temporal network architecture that uses its gating variables to capture the variation of physical parameters. We initialize this model using a pre-training strategy that helps discover common physical patterns shared by different sets of simulated data. Then, we fine-tune it combining limited observations and adequate simulations. By leveraging the complementary strength of machine learning and domain knowledge, our method has been shown to produce accurate predictions, use less training samples and generalize to out-of-sample scenarios. We further show that the method can provide insights about the variation of physical parameters over space and time in two domain applications: predicting temperature in streams and predicting temperature in lakes.",Physics-guided machine learning from simulated data with different physical parameters,Knowledge and Information Systems,http://dx.doi.org/10.1007/s10115-023-01864-z,2.145895337283146
0,"At first glance, psychology and physics seem to have nothing in common. However, in both disciplines, sections are dealing with the study of one of the most complex objects in the universe: the human brain. Within psychology, neuropsychologists and neuroscientists “watch the brain at work” by measuring electrical and magnetic signals while participants perform tasks. Physics comprises the section of biophysics and is involved in the interdisciplinary field of computational neuroscience , in which the complex processes in the brain are represented with mathematical models. Furthermore, both disciplines focus on quantitative measurements and presenting their results in form of numbers.",Psychology and Physics: A Non-invasive Approach to the Functioning of the Human Mirror Neuron System,Measurement and Understanding in Science and Humanities,http://dx.doi.org/10.1007/978-3-658-36974-3_12,1.8096613951470697
1,"United in their motivation to better understand and describe the world, scientists from a wide range of disciplines search for new insights every day. At first glance, the approaches chosen on the way to gaining scientific knowledge seem to be very different. However, terms such as “number”, “pattern” or “model” appear in the communication of results in almost all fields of science. This suggests that nowadays a quantifying approach that focuses on “numbers” and “measures” is of particular importance.",Conclusion: Measuring and Understanding the World Through Science,Measurement and Understanding in Science and Humanities,http://dx.doi.org/10.1007/978-3-658-36974-3_18,0.7288745053857196
6,"This quote by William Thomson, Baron Kelvin, from a speech in 1883, which is still widely used today, can be cited in the context of debates surrounding the relationship between qualitative and quantitative approaches in science and their intrinsic value, as an unequivocal plea for the primacy of the latter. Furthermore, if one follows Kelvin’s argumentation, quantifiability is to be equated with scientificity.","Science, Numbers and Power: Contemporary Politics Between the Imperative of Rationalization and the Dependence on Numbers",Measurement and Understanding in Science and Humanities,http://dx.doi.org/10.1007/978-3-658-36974-3_9,0.6431855484277406
3,"Science and humanities divide the world, but also unite it. This attitude is the only one that brings progress and has the goal of creating an understanding of the world. This is reflected in our collaboration for this volume. Each project brings its own particular view of the roles of the concept of “number,” “measurement,” and “pattern” in understanding the world in each discipline considered. As different as these views are, there are also many similarities. In particular, three basic sets of themes can be identified that connect many of the individual contributions: first, the juxtaposition, the fusion, and the cross-fertilization of qualitative and quantitative approaches; second, the application, the interpretation, and the critical classification of mathematical and computational methods; and third, the quantification of different areas of life and science as a subject of inquiry.",Brief Presentation of the Contributions,Measurement and Understanding in Science and Humanities,http://dx.doi.org/10.1007/978-3-658-36974-3_2,0.49408779638927425
7,"The preceding parts presented the path from the desire for knowledge via methods, fundamentals and the inherent use of numbers and patterns to gaining knowledge for various disciplines and projects. This chapter deals with the communication cultures in sciences and humanities. Here, the focus is not only on a scientific publication as the “Endprodukt der Erkenntnisgewinnung”. On the one hand, this wider focus is chosen because science communication consists of more aspects than a scientific publication in the narrow sense and, on the other hand, the publication can serve as a starting point for new value chains of knowledge. The first part of this chapter reflects goals and methods of science communication, while the second part deals with current trends in knowledge communication and their consequences, and discusses the necessity, potentials and limitations of interdisciplinary projects.",Communication Cultures,Measurement and Understanding in Science and Humanities,http://dx.doi.org/10.1007/978-3-658-36974-3_17,0.48648337379868334
4,"Numerical simulations are used for the approximate prediction of situations under strictly defined conditions. They are based on mathematical models and represent interdependencies in the form of algorithms and computer programs. In everyday life, they are now ubiquitous for everyone, for example in weather forecasts or economic growth forecasts. In politics, they serve as an important tool for decision-making. In the scientific context, however, simulations are much more than a prediction tool. Similar to experiments, they also serve to build models themselves and thus enable the elucidation of causal relationships. Due to increasingly powerful computers, the importance of numerical simulation in science has grown steadily and rapidly over the last 50 years. In the meantime, it is considered an indispensable tool for gaining knowledge in many scientific disciplines. It is to be expected that numerical simulation will continue to grow rapidly in importance in the future and produce further surprising findings and technolo gies.",Through Numerical Simulation to Scientific Knowledge,Measurement and Understanding in Science and Humanities,http://dx.doi.org/10.1007/978-3-658-36974-3_16,0.44181429124524385
5,"The name econometrics is derived from the ancient Greek word combination: oikonomia = economy and metron = measure, measurement. Econometrics can, therefore, be described as the measurement of economic activity. Formally, econometrics is a social science that uses economic theory and mathematical methods as well as statistical data to quantitatively analyze economic processes and phenomena and empirically test economic theories. In the competition among different economic theoretical hypotheses, econometrics confronts these hypotheses with the reality provided by the data, so that the usefulness of an economic theoretical statement becomes tangible only if it can describe more or less the reality. An accurate description of the reality by an econometric model requires an accurate measurement of the relevant variables and their relationships.",Measuring and Understanding Financial Risks: An Econometric Perspective,Measurement and Understanding in Science and Humanities,http://dx.doi.org/10.1007/978-3-658-36974-3_10,0.44089671298003663
2,"When scientists from different research disciplines work together, this is initially associated with increased effort for everyone involved—common goals and terminology have to be found, perhaps even prejudices have to be overcome. Is all this work worthwhile, given that there are enough unsolved problems in each discipline? Here, we aim to illustrate the opportunities and advantages that interdisciplinary research brings, the specific challenges that have to be overcome, and how, in the experience of the authors of this book, successful research between disciplines can succeed.",Introduction,Measurement and Understanding in Science and Humanities,http://dx.doi.org/10.1007/978-3-658-36974-3_1,0.39846762889277004
8,Thermal comfort and thermal pain are two independent phenomena studied by different disciplines. The research field of thermal comfort deals with the adaptation of perception of thermal conditions at the workplace. That of thermal pain with sensory and emotional perceptions of painful heat stimuli and its adaptation.,Reflections and Perspectives on the Research Fields of Thermal Comfort at Work and Pain,Measurement and Understanding in Science and Humanities,http://dx.doi.org/10.1007/978-3-658-36974-3_13,0.39846762889277004
